Query,Page,Language,Query in Labels,Query in text,All keywords in Labels,All keywords in text
La Rovtte et deffaitte dv camp,portal,en,[],[],[],[]
Addis Abeba,portal,it,[],[],[],[Agent]
Absolwenci uniwersytetu,portal,en,[],[],[],[]
Adam Frans van der Meulen,portal,es,[Agent],[Agent],[Agent],[Agent]
juan de goyeneche,portal,es,[],[],[],[]
akkadische,portal,en,[],[],[],[]
luciano albertini,newspapers,de,[],[],[],[]
albert ballin,portal,de,[],[],[],[]
Ability,portal,en,[],[],[],[Agent]
a gun for dinosaur,portal,en,[],[],[],[]
Patria Giornale dell'idea liberale,portal,it,[],[],[],[]
francisco franco,portal,es,[],[],[],[Agent]
ahnenprobe,portal,cs,[],[],[],[]
afisze,art,pl,[],[],[],[]
L'assassinat de Mickey Mouse de Pierre Pigot,portal,fr,[],[],[],[]
alaia,fashion,en,[],[],[Agent],[Agent]
Research,portal,en,[],[],"[Agent, Organization]","[Agent, Organization]"
calvin blanchard,portal,en,[],[],[],[]
africa overo barbaria,portal,ro,[],[],[],[]
wiener kurier,portal,de,[],[],[],[]
santa lucia,portal,it,[],[],[Place],[Place]
St Mathurin,portal,en,[],[],[],[]
Actos de Cortes del Reyno de Aragon,portal,es,[],[],[],[]
abechuco,portal,es,[],[],[],[]
Albert Renger,portal,it,[],[],[],[Agent]
agria,portal,hu,[Place],[Place],"[Agent, Place]","[Agent, Place]"
new york building,portal,sv,[],[],[],[]
actionnaire,art,en,[],[],[],[Agent]
adulthood,portal,en,[],[],[],[Agent]
acrobaat,portal,fr,[],[],[],[Agent]
africa,portal,en,[],[],"[Concept, Agent, Organization, Place]","[Concept, Agent, Organization, Place]"
alaska,portal,en,[Agent],[Agent],[Agent],[Agent]
acne,portal,en,[],[],[Agent],[Agent]
Felix fernandez,portal,es,[],[],[],[]
la eliana,portal,es,[Place],[Place],[Place],[Place]
divisa,portal,it,[],[],[],[Agent]
Rafael Tejeo,portal,es,[Agent],[Agent],[Agent],[Agent]
Alava,portal,es,[Place],[Place],"[Agent, Place]","[Agent, Place]"
george muller,portal,en,[],[],[],[]
ALBERT CAMUS,portal,en,[Agent],[Agent],[Agent],[Agent]
agia marina skillouras cyprus,portal,en,[],[],[],[]
Alcublas,portal,es,[Place],[Place],[Place],[Place]
boudet du max,portal,fr,[],[],[],[]
akinakes,portal,en,[],[],[],[]
printmakers,portal,en,[],[],[Agent],[Agent]
Ady Endre,portal,hu,[],[],[],[Agent]
AjuntamentGirona,portal,de,[],[],[],[]
sistemas de inteligencia,portal,en,[],[],[],[]
Freut euch des Lebens,portal,de,[],[],[],[]
Hubert Aquin,portal,fr,[],[],[],[Agent]
abeilles,portal,fr,[],[],[],[Agent]
activity,portal,en,[],[],[],[Agent]
Madame Bovary de Gustave Flaubert,portal,fr,[],[],[],[Agent]
Advanced materiales energy system,portal,es,[],[],[],[]
nova lisboa,portal,pt,[],[],[Organization],[Organization]
Africa,portal,es,[],[],"[Concept, Agent, Organization, Place]","[Concept, Agent, Organization, Place]"
abraham abendroth,portal,de,[],[],[],[]
Columbus's voyage,portal,en,[],[],[],[]
modern art,portal,en,[],[],[Organization],"[Agent, Organization]"
adrianople,portal,en,[],[],[],[Agent]
Girl with the Pearl Earring,portal,en,[],[],[],[]
Tito's imperial communism,portal,pl,[],[],[],[]
agricoltura,portal,it,[Concept],[Concept],[Concept],"[Concept, Agent]"
amphora,portal,en,[],[],[Agent],[Agent]
acts of mercy,portal,en,[],[],[],[Agent]
martinus monachus,art,nl,[],[],[],[]
adres els meijns,portal,nl,[],[],[],[]
Der Welt Spiegel,portal,en,[],[],[],[Agent]
a kezdeti,manuscripts,en,[],[],[],"[Concept, Agent]"
afrika,maps,en,[Agent],[Agent],"[Agent, Organization, Place]","[Agent, Organization, Place]"
pratica legale,portal,it,[],[],[],[]
alexander the great hellespont,portal,en,[],[],[],[]
alba amicorum,portal,nl,[],[],[],[]
asia minor,portal,el,[],[],[],[Agent]
alamander,portal,en,[],[],[],[]
alamut,portal,en,[],[],[],[Agent]
Admiral Rolf carls,portal,de,[],[],[],[]
rodzina artystyczna,portal,pl,[],[],[],[]
potrawy wigilijne,portal,pl,[],[],[],[]
Agatha Christie,portal,es,[Agent],[Agent],[Agent],[Agent]
Liberty,portal,cs,[],[],"[Agent, Organization, Place]","[Agent, Organization, Place]"
Alcea carvertii,portal,en,[],[],[],[]
jillings,portal,nl,[],[],[],[]
gatto nero,portal,it,[],[],[],[Agent]
Angel saavedra,portal,en,[],[],[],[]
rive gauche,portal,en,[],[],[],[Agent]
MIERES,portal,es,[Place],[Place],[Place],"[Agent, Place]"
grand hotel java,portal,en,[],[],[],[]
aballea,portal,en,[],[],[],[]
diesel elettric,portal,en,[],[],[],[]
air forces,world-war-I,en,[],[],[],[Agent]
manuel ojeda,portal,es,[],[],[],[]
adele list,portal,en,[],[],[],[]
akkadische lesestucke,portal,en,[],[],[],[]
Enfermeras visitadoras,portal,es,[],[],[],[]
aerial warfare,portal,da,[],[],[],[]
advertisement,portal,en,[],[],[],[Agent]
Adolfo caccia,portal,en,[],[],[],[]
der wappen,portal,it,[],[],[],[]
a hombros de gigantes,portal,es,[],[],[],[]
natale di sangue,portal,it,[],[],[],[]
aberystwyth,newspapers,en,[Place],[Place],[Place],"[Agent, Organization, Place]"
Albert casimir,portal,nl,[],[],[],[]
ailleboust,portal,fr,[],[],[],[]
aeolian harp,portal,pl,[],[],[],[]
aerial warfare,portal,cs,[],[],[],[]
martinez de junquera,portal,fr,[],[],[],[]
queen elizabeth II,portal,en,[],[],[],[Agent]
achieving Student Reading Competency In Digital And Print Text,portal,en,[],[],[],[]
aaron florian,portal,ro,[],[],[],[]
VITA ROSAE,portal,en,[],[],[],[]
alberto frances serra,portal,es,[],[],[],[]
alhajas de luto,portal,es,[],[],[],[]
adolf eichmann,portal,en,[],[],[],[]
albania,art,en,[Place],[Place],"[Agent, Organization, Place]","[Agent, Organization, Place]"
banyan,portal,en,[],[],[],[Agent]
abba,portal,es,[],[],[Agent],[Agent]
albanaise,world-war-I,de,[],[],[],[Agent]
Consuegra,portal,es,[Place],[Place],"[Agent, Place]","[Agent, Place]"
Indje holenderskie,portal,pl,[],[],[],[]
alcidus,portal,hu,[],[],[],[]
Studien zur Geschichte des deutschen Imperialismus,portal,pl,[],[],[],[]
bartolome domenech,portal,en,[],[],[],[]
alcudia,portal,ca,[Place],[Place],[Place],"[Agent, Place]"
Africa,portal,en,[],[],"[Concept, Agent, Organization, Place]","[Concept, Agent, Organization, Place]"
Acacia in Flowers,portal,en,[],[],[],[]
Adam Mickiewicz,portal,et,"[Agent, Place]","[Agent, Place]","[Agent, Place]","[Agent, Place]"
aerodinamica y actuaciones,portal,es,[],[],[],[]
albarracin,portal,es,[],[],[],[]
Mont Blanc stereoview,portal,en,[],[],[],[]
potlist,portal,de,[],[],[],[]
acta consistori secreti habiti sanctissimo domino nostro,portal,en,[],[],[],[]
Madame Bovary de Gustave Flaubert,portal,fr,[],[],[],[Agent]
saenz de aguirre collectio maxima pdf,portal,es,[],[],[],[]
Access details,portal,es,[],[],[],[]
masaki yodogawa,portal,es,[],[],[],[]
Libro de gestis,portal,es,[],[],[],[]
Aedium Farnesiarum tabulae,portal,en,[],[],[],[]
Acheville,portal,fr,[Place],[Place],[Place],[Place]
Glaubens Kampf und Sieg,portal,de,[],[],[],[]
casa lleo morera,portal,es,[],[],[],[]
aktfoto,portal,en,[],[],[],[]
frederick ii,portal,en,[],[],[Place],"[Agent, Place]"
Alchemy,portal,en,[Concept],[Concept],"[Concept, Agent]","[Concept, Agent]"
Kroaten und Slowenen,portal,pl,[],[],[],[]
ACRIO,portal,it,[],[],[],[]
florence Henri,portal,en,[Agent],[Agent],[Agent],[Agent]
igan,portal,en,[],[],[],[]
AJALOOTUND,portal,nl,[],[],[],[]
Amelia de la Torre,portal,es,[],[],[],[]
aerial warfare,portal,de,[],[],[],[]
Albaladejo,portal,es,[Place],[Place],[Place],"[Agent, Place]"
Georgina Palme,portal,cs,[],[],[],[]
africa,portal,en,[],[],"[Concept, Agent, Organization, Place]","[Concept, Agent, Organization, Place]"
agessai,portal,en,[],[],[],[]
neufville,portal,fr,[],[],[],[Agent]
Adolf huschke,portal,nl,[],[],[],[]
adam,portal,en,[Place],[Place],"[Agent, Place]","[Agent, Place]"
kota cina',portal,fr,[],[],[],[]
West Burton,newspapers,en,[Place],[Place],[Place],[Place]
salvador carmona,portal,es,[],[],[Agent],[Agent]
alabarda,portal,es,[],[],[],[]
Francisco COll,portal,es,[],[],[Agent],[Agent]
A world war,portal,en,[],[],[],[Agent]
juan francisco de navas,portal,en,[],[],[],[]
aerial welfare,portal,de,[],[],[],[]
Albano Laziale,portal,en,[Place],[Place],[Place],"[Agent, Place]"
a magyar nemzethez,portal,hu,[],[],[],[]
David Michelangelo,portal,en,[],[],[],[]
alderdi eder,portal,es,[],[],[],[]
a farewell to arms,portal,en,[],[],[],[Agent]
Trieste clef de voute de la paix,portal,pl,[],[],[],[]
academie royale musique,portal,es,[],[],[],[]
A Welsh Grammar,portal,en,[],[],[],[]
adorazione dei magi,portal,it,[],[],[],[Agent]
Charles III de Monaco,photography,fr,[],[],[],[]
Some fundamentals of the Indian problem,portal,pl,[],[],[],[]
Aaltje Kemker,portal,nl,[],[],[],[]
Album tropical,portal,fr,[],[],[],[Agent]
los siete infantes de lara,portal,es,[],[],[],[]
Art Nouveau,portal,en,[Concept],[Concept],[Concept],"[Concept, Agent]"
adriano lualdi,portal,pt,[Agent],[Agent],[Agent],[Agent]
arthur,portal,de,[],[],[Agent],[Agent]
roger ii sicily,portal,en,[],[],[],[]
Kun Tibor,portal,en,[],[],[],[]
actuality,portal,es,[],[],[],[Agent]
thomas minton,portal,en,[],[],[],[]
alabarderos,portal,es,[],[],[],[]
guida armonica pitoni,portal,en,[],[],[],[]
giovanni dalmata,portal,it,[Agent],[Agent],[Agent],[Agent]
affiche course,portal,es,[],[],[],[]
la coulisse devant l'opinion publique,portal,en,[],[],[],[]
la nostalgie africaine,portal,en,[],[],[],[]
Antonio lluent,portal,es,[],[],[],[]
david spinat,newspapers,en,[],[],[],[]
